11 44,41 75,43 60,103 88,103
17 77,44 108,45 90,103 119,104
33 110,46 138,47 121,104 147,104
9 151,48 178,50 158,104 184,105
8 180,50 205,51 186,105 209,105
1 208,52 232,53 212,105 234,105
2 234,53 256,55 236,105 257,106
plate 33,14 263,33 60,118 263,119
28 303,309 317,307 294,337 308,336
33 318,307 333,305 309,336 324,336
28 334,305 350,303 326,336 343,335
5 358,302 377,299 351,335 370,334
4 378,299 400,296 372,334 395,333
8 402,296 426,293 397,333 422,332
8 428,292 455,289 425,332 454,331
plate 305,298 462,273 290,345 462,344
