25 29,191 55,192 41,240 65,240
11 57,192 82,193 67,240 90,241
14 84,193 108,194 92,241 115,241
7 118,195 141,196 124,241 145,241
0 143,196 165,197 147,241 168,241
4 167,197 188,198 170,241 190,242
1 190,198 210,199 191,242 211,242
plate 22,169 215,181 41,253 215,253
31 233,224 267,227 239,296 272,297
29 271,228 303,231 276,297 306,298
19 305,231 334,234 309,298 337,299
2 347,236 373,238 349,299 375,300
2 376,239 400,241 378,300 402,301
0 402,241 425,244 403,301 426,301
9 427,244 449,246 428,301 449,302
plate 227,193 454,224 237,316 454,317
