30 75,62 96,61 62,112 85,112
12 99,61 122,61 88,112 112,112
16 123,60 146,60 114,112 138,111
6 157,59 181,58 150,111 175,111
1 184,58 209,57 178,111 204,111
4 211,57 236,56 206,111 233,110
7 239,56 265,55 236,110 264,110
plate 77,44 272,35 56,127 272,126
18 192,161 210,159 179,202 198,201
21 212,159 232,157 200,201 221,201
14 233,157 254,155 223,201 245,200
1 265,154 288,151 256,200 280,199
9 291,151 317,149 283,199 311,198
2 319,148 347,146 313,198 343,197
8 350,145 381,142 347,197 380,196
plate 194,147 390,122 173,214 389,213
