21 75,125 84,125 68,147 79,147
30 85,125 95,124 80,147 90,147
17 97,124 108,124 92,147 103,147
7 112,124 123,123 108,147 120,147
0 124,123 135,122 121,147 133,147
3 137,122 149,122 135,147 147,146
8 150,122 162,121 149,146 162,146
plate 76,117 165,112 66,154 165,154
32 114,260 123,260 119,277 128,277
18 124,260 134,259 129,277 138,277
30 135,259 145,258 139,277 149,277
2 150,258 161,257 154,277 164,277
9 162,257 174,256 165,277 177,277
5 175,256 187,256 178,277 189,276
8 189,256 203,255 190,276 203,276
plate 111,253 206,246 120,281 206,281
