21 201,400 209,399 198,417 206,417
26 210,399 219,398 207,417 216,416
13 220,398 230,397 217,416 227,416
9 234,396 245,395 231,416 243,415
0 246,395 258,393 244,415 256,415
6 260,393 274,391 259,415 273,414
9 276,391 291,389 274,414 291,414
plate 202,394 295,380 196,422 295,421
19 50,73 75,75 39,131 66,131
11 77,75 101,77 68,131 94,132
26 103,77 124,79 96,132 119,132
6 135,80 155,82 130,133 151,133
3 157,82 176,84 153,133 174,134
2 178,84 196,85 176,134 195,134
7 198,85 216,87 197,134 215,135
plate 51,51 220,69 34,148 220,149
