27 19,137 49,140 27,197 56,198
28 52,140 80,142 58,198 85,199
12 82,143 107,145 87,199 111,199
2 119,146 142,148 122,199 144,200
6 144,148 166,150 146,200 168,200
5 168,150 188,152 170,200 189,201
4 191,152 209,154 191,201 210,201
plate 13,111 214,135 27,213 214,214
15 144,320 156,319 153,341 163,341
11 157,319 170,317 165,341 178,341
14 171,317 186,316 178,341 192,340
1 192,315 208,313 199,340 213,340
2 210,313 228,311 216,340 232,339
6 230,311 251,309 234,339 254,339
6 252,309 276,306 255,339 277,338
plate 139,311 283,291 153,346 283,346
