22 86,137 97,137 91,160 102,160
30 99,136 111,136 103,160 115,160
18 113,136 126,135 117,160 130,160
5 132,134 147,133 135,160 150,159
0 148,133 164,132 151,159 165,159
3 165,132 181,131 167,159 182,159
6 184,131 200,130 185,159 200,159
plate 83,128 205,118 90,166 205,166
24 296,374 328,377 312,436 341,437
17 331,378 361,380 343,437 371,437
25 363,381 389,383 373,437 397,438
1 402,384 426,386 409,438 431,439
5 428,387 451,389 433,439 454,439
9 453,389 474,391 456,439 475,440
0 476,391 496,393 478,440 496,440
plate 286,346 501,373 313,452 501,452
