12 58,173 75,172 43,212 61,212
15 76,171 95,170 62,212 82,211
14 97,170 116,168 84,211 105,211
5 125,167 147,165 115,210 138,210
5 149,165 172,162 140,210 165,209
0 175,162 200,160 169,209 196,208
5 202,160 229,157 198,208 228,208
plate 61,160 237,139 36,224 236,223
27 189,280 203,278 184,308 197,308
12 205,278 220,276 199,308 214,307
12 221,276 238,274 216,307 233,307
6 246,273 265,271 241,306 261,306
0 267,270 288,268 263,306 285,305
1 291,267 315,264 287,305 313,304
5 317,264 345,261 315,304 345,303
plate 190,270 353,244 181,316 352,315
