18 152,186 172,185 163,224 182,223
30 174,185 196,183 183,223 205,223
27 198,183 220,181 206,223 228,222
0 231,180 257,178 239,222 264,222
4 260,178 287,176 266,222 292,221
3 290,175 320,173 295,221 323,221
0 323,173 355,170 325,221 356,220
plate 146,171 365,148 163,233 365,233
26 80,26 101,29 74,73 96,73
17 102,29 121,31 97,73 118,74
24 123,31 141,33 119,74 138,74
5 149,33 164,35 146,75 162,75
4 166,35 181,37 164,75 180,76
1 182,37 196,38 181,76 196,76
7 198,39 211,40 197,76 211,76
plate 80,8 215,26 70,86 215,87
