29 37,193 63,198 27,256 56,257
16 66,198 90,202 59,257 84,259
11 92,203 113,206 86,259 109,260
8 121,208 140,211 118,260 137,261
7 142,211 158,214 139,261 157,262
3 160,215 175,217 158,262 174,263
1 177,217 191,220 176,263 190,264
plate 38,170 194,204 21,275 194,276
18 236,374 267,378 230,446 262,447
24 271,378 300,381 266,447 296,448
20 302,382 329,384 298,448 326,449
8 341,386 365,388 338,449 363,450
3 368,389 391,391 366,450 389,451
9 392,391 414,394 391,451 413,451
8 416,394 436,396 415,451 436,452
plate 235,346 441,375 224,466 441,467
