23 76,329 89,328 81,356 94,356
32 91,328 106,327 96,356 110,356
27 107,327 123,326 111,356 126,355
9 130,326 145,325 133,355 148,355
7 148,325 164,324 150,355 166,355
6 166,324 185,323 168,355 186,355
0 186,323 205,322 187,355 206,354
plate 72,317 210,308 80,363 210,363
16 182,53 201,56 189,96 206,96
24 203,56 221,59 209,96 225,97
15 223,59 240,62 227,97 243,97
4 246,62 261,65 249,98 263,98
0 262,65 275,67 264,98 276,99
7 276,67 288,68 277,99 289,99
2 290,69 300,70 290,99 300,99
plate 175,35 303,59 187,106 303,107
