17 69,358 91,360 59,411 83,411
10 93,361 113,363 85,412 106,412
29 115,363 134,365 109,412 129,413
3 141,366 158,368 137,413 155,413
8 160,368 176,370 157,414 174,414
9 177,370 192,372 175,414 191,414
1 194,372 208,373 193,415 208,415
plate 70,340 211,360 54,425 211,426
24 183,80 203,79 190,120 210,120
15 205,79 227,77 211,120 233,119
25 229,77 252,76 235,119 257,119
6 263,75 289,73 268,119 293,118
0 291,73 317,71 295,118 320,118
9 321,71 349,69 324,118 351,117
9 352,69 382,67 353,117 382,117
plate 177,64 391,45 189,130 391,130
