30 36,147 68,150 49,209 78,210
28 70,151 99,153 80,210 107,210
24 102,154 128,156 110,210 134,211
2 140,157 163,159 145,211 167,212
8 165,160 188,162 169,212 191,212
0 190,162 210,164 192,212 212,213
5 213,164 232,166 214,213 232,213
plate 28,120 237,146 49,225 237,225
23 226,77 239,76 222,104 236,104
31 240,76 255,74 236,104 251,103
15 255,74 271,73 252,103 268,103
8 278,72 294,71 275,103 292,102
6 296,71 314,69 294,102 312,102
2 316,69 334,67 314,102 333,102
9 337,67 357,65 336,101 357,101
plate 226,66 364,51 219,112 363,111
