20 76,115 85,114 71,134 79,133
22 86,113 95,112 81,133 90,133
20 97,112 107,111 92,133 103,132
9 112,110 125,108 108,132 121,132
9 126,108 140,106 122,132 137,131
2 141,106 157,104 138,131 155,131
4 160,104 177,102 158,131 176,130
plate 77,108 182,91 68,139 182,138
30 227,387 260,390 243,449 272,450
11 263,390 292,393 275,450 302,451
16 295,393 321,396 305,451 329,452
3 334,397 357,400 340,452 362,452
1 360,400 383,402 364,452 386,453
5 384,402 405,405 388,453 407,453
6 408,405 427,407 409,453 427,454
plate 217,358 432,387 244,465 432,466
