24 24,362 54,365 38,421 66,422
33 57,366 85,369 68,422 94,423
31 87,369 113,372 96,423 119,424
0 123,373 145,376 129,424 150,424
2 148,376 168,378 152,424 171,425
4 170,378 189,381 173,425 191,426
2 191,381 209,383 192,426 209,426
plate 15,335 213,365 39,436 213,437
33 143,238 173,242 153,299 181,300
18 176,243 203,246 183,300 209,301
12 205,246 230,249 211,301 234,301
2 240,251 262,253 244,302 264,302
9 264,253 283,256 266,302 285,303
1 285,256 304,258 287,303 305,304
2 305,259 322,261 306,304 322,304
plate 136,212 326,243 152,315 326,316
