18 34,300 68,305 44,369 75,371
27 71,305 101,310 78,371 106,372
30 103,310 129,314 109,372 133,373
7 141,316 164,319 145,373 166,374
5 165,319 187,323 168,374 188,375
4 188,323 207,326 190,375 208,375
8 209,326 226,328 210,375 226,376
plate 27,269 231,309 43,387 231,389
12 327,83 341,82 332,111 346,111
21 343,82 358,80 348,111 363,111
13 360,80 377,78 365,111 382,110
8 385,78 404,76 389,110 408,110
3 406,76 427,73 410,110 430,109
1 430,73 453,71 432,109 455,109
1 456,71 482,68 458,108 483,108
plate 323,73 490,52 332,118 490,117
