13 80,24 93,23 73,51 86,50
23 93,23 107,22 87,50 101,50
11 108,22 123,20 102,50 118,50
1 130,19 145,18 125,49 141,49
2 147,18 164,16 143,49 161,48
5 166,16 185,14 163,48 183,48
0 187,14 208,12 186,48 207,47
plate 81,14 214,-2 70,59 214,58
32 114,466 123,465 118,485 128,485
25 125,465 135,464 129,485 139,485
17 137,464 149,463 141,485 153,485
0 155,462 169,461 158,484 172,484
9 170,461 186,459 173,484 188,484
7 187,459 205,457 190,484 207,483
6 208,457 226,455 209,483 227,483
plate 110,459 233,442 118,490 233,490
