22 74,208 89,209 78,242 93,242
27 92,209 106,210 95,242 109,242
22 108,210 124,211 111,242 126,242
4 130,211 145,212 132,242 146,242
6 146,212 160,212 147,242 161,243
3 161,213 174,213 162,243 175,243
8 176,213 188,214 177,243 188,243
plate 70,195 192,203 76,250 192,251
17 360,143 376,146 353,184 370,185
19 378,146 392,148 373,185 388,186
27 395,149 409,151 390,186 405,187
8 414,152 426,154 411,187 424,188
7 427,154 438,156 425,188 437,188
5 439,156 450,158 438,188 449,189
1 451,158 460,160 450,189 460,189
plate 360,128 462,150 348,197 462,198
