31 64,173 90,174 57,231 83,231
31 92,175 117,176 85,231 111,232
24 119,176 143,177 114,232 138,232
2 153,177 177,179 149,232 174,232
1 179,179 200,180 176,232 198,233
9 203,180 224,181 201,233 223,233
2 226,181 247,182 225,233 246,233
plate 64,152 253,163 51,248 252,248
27 128,47 145,47 113,86 131,86
27 146,47 164,46 133,86 152,86
32 165,46 183,45 154,86 173,86
8 191,45 210,44 182,86 202,85
6 211,44 230,43 204,85 225,85
8 232,43 252,43 227,85 249,85
0 254,42 274,42 251,85 273,85
plate 131,34 279,27 107,99 278,98
