21 66,447 83,448 60,486 77,487
28 85,448 101,449 79,487 97,487
21 102,449 118,451 98,487 115,488
7 125,451 138,452 122,488 136,488
6 140,452 153,453 138,488 152,488
8 155,453 168,454 154,488 168,489
0 169,455 182,456 168,489 182,489
plate 66,432 185,443 55,498 185,499
32 315,236 332,239 319,273 336,273
21 334,239 349,241 337,273 352,274
25 352,242 365,244 354,274 367,274
1 371,244 383,246 373,275 384,275
5 384,246 395,248 385,275 396,276
9 397,248 407,250 398,276 407,276
8 408,250 417,251 408,276 417,276
plate 311,220 419,241 319,282 419,283
