33 163,450 176,449 170,475 182,475
20 178,449 191,449 184,475 196,475
29 193,448 207,448 198,475 211,474
7 213,448 228,447 217,474 232,474
3 229,447 245,447 233,474 247,474
2 246,446 262,446 248,474 264,474
8 264,446 280,445 266,474 280,474
plate 159,439 285,433 170,481 285,481
19 56,335 74,334 39,377 58,377
26 76,334 95,332 60,377 81,376
33 97,332 116,331 82,376 104,376
2 126,330 148,329 114,376 138,375
6 149,328 172,327 140,375 164,375
7 174,327 198,325 167,375 194,374
2 200,325 225,323 196,374 223,374
plate 60,321 232,305 31,390 232,390
