28 47,290 68,292 57,333 76,333
12 71,292 91,294 78,333 97,334
33 92,294 111,296 98,334 115,334
4 119,297 135,298 123,334 138,335
4 137,298 152,300 140,335 154,335
0 154,300 169,301 156,335 170,335
9 170,301 184,303 171,335 184,336
plate 40,271 187,289 57,344 187,344
22 239,355 258,354 231,396 250,396
18 259,353 280,352 252,396 273,395
29 282,352 302,350 275,395 296,395
2 312,350 336,348 307,395 331,394
4 338,348 362,346 333,394 358,394
8 365,346 390,344 361,394 388,393
4 392,344 419,342 390,393 419,392
plate 240,340 428,323 226,408 427,407
