12 67,87 82,86 55,122 72,122
29 84,86 101,85 73,122 91,122
11 102,85 120,83 93,122 111,121
0 128,83 147,81 120,121 140,121
2 148,81 168,80 142,121 164,120
2 170,80 192,78 166,120 189,120
0 194,78 216,76 191,120 215,119
plate 69,75 222,61 50,133 221,132
22 58,371 97,376 73,449 108,451
27 101,376 135,381 112,451 144,452
10 137,381 168,385 146,452 175,453
8 182,387 209,391 187,453 213,454
6 212,391 237,394 216,454 239,455
1 238,394 261,397 241,455 263,455
2 264,398 285,401 265,455 285,456
plate 47,335 290,378 72,469 290,470
