15 23,139 51,142 28,197 55,198
12 54,142 79,145 58,198 82,198
29 82,145 105,148 85,198 107,199
4 115,149 136,151 117,199 137,200
3 138,152 158,154 139,200 158,200
5 159,154 178,156 160,200 178,201
9 179,156 196,158 180,201 196,201
plate 19,115 200,141 27,212 200,213
27 188,357 208,361 185,407 205,407
26 211,361 230,365 208,408 228,408
14 231,365 248,368 229,408 246,409
4 255,369 268,372 253,410 267,410
1 270,372 283,374 269,410 282,411
5 284,374 296,376 284,411 296,411
7 297,377 308,378 297,412 308,412
plate 187,338 311,366 181,420 311,421
