30 72,456 86,457 67,490 81,490
12 88,457 102,458 84,490 98,491
14 104,458 117,459 100,491 114,491
7 123,459 136,460 120,491 134,491
5 137,460 149,461 135,491 148,491
4 150,461 162,462 149,491 161,492
9 164,462 174,463 163,492 174,492
plate 72,444 177,452 63,500 177,501
11 242,228 259,231 236,271 254,272
20 261,231 276,234 256,272 272,273
31 278,235 292,237 274,273 290,274
6 298,238 310,241 296,274 309,275
9 311,241 322,243 309,275 321,275
7 323,243 333,245 322,275 332,276
5 334,245 343,247 334,276 343,276
plate 242,212 345,237 231,284 345,285
