33 55,238 80,241 39,298 67,299
32 82,241 105,243 69,299 95,300
22 107,244 128,246 97,300 120,300
8 138,247 157,249 131,301 152,301
7 158,249 177,251 154,301 174,302
3 179,252 195,253 175,302 194,303
5 198,254 213,255 196,303 213,303
plate 58,216 218,239 32,317 217,318
25 332,312 344,314 327,342 340,342
25 345,314 357,315 341,342 354,342
26 358,315 368,317 355,343 366,343
7 373,317 382,318 371,343 380,343
7 383,319 392,320 381,343 391,344
1 392,320 400,321 392,344 400,344
7 401,321 409,322 400,344 409,344
plate 333,302 410,315 324,349 410,350
