15 84,330 93,330 82,349 90,349
26 94,330 103,329 91,349 101,349
20 104,329 114,329 102,349 112,349
9 118,329 128,328 117,349 127,349
9 129,328 140,328 128,349 139,349
9 141,328 151,327 140,349 150,349
6 152,327 164,327 151,349 164,349
plate 84,323 166,319 80,354 166,354
10 186,24 211,23 203,72 227,72
16 214,23 241,22 230,72 254,71
24 243,22 270,21 256,71 282,71
3 283,21 312,20 294,71 320,71
4 315,20 345,19 323,71 351,71
6 347,19 378,17 353,71 381,70
7 381,17 413,16 385,70 414,70
plate 175,3 422,-8 205,84 422,83
