20 23,8 33,7 31,26 41,26
21 34,7 45,7 41,26 52,26
17 47,6 59,6 53,26 65,26
3 64,5 77,4 69,26 81,26
7 78,4 92,3 83,25 96,25
4 94,3 110,2 98,25 112,25
1 111,2 128,0 113,25 128,25
plate 19,0 132,-10 32,31 132,31
23 295,412 306,411 299,435 310,435
21 308,411 321,410 312,435 325,435
14 322,410 336,408 326,435 340,434
7 343,408 358,406 346,434 361,434
9 360,406 377,405 363,434 379,433
7 380,404 399,402 382,433 401,433
9 401,402 423,400 402,433 423,432
plate 291,403 428,386 299,441 429,441
