19 276,330 304,334 261,399 292,400
26 306,334 332,338 294,401 323,402
25 334,338 358,342 325,402 351,403
8 368,343 390,346 362,403 385,404
6 391,346 411,349 387,404 408,405
9 413,349 431,352 410,405 429,406
8 432,352 449,354 431,406 449,406
plate 277,305 454,336 252,420 453,422
12 71,245 86,245 61,282 77,282
30 88,246 103,246 79,282 96,282
30 104,246 119,247 97,282 113,282
6 125,247 139,248 120,282 135,283
7 140,248 153,249 137,283 151,283
8 155,249 168,249 153,283 167,283
7 169,249 182,250 168,283 182,283
plate 72,232 186,238 56,293 185,293
