29 78,422 97,421 59,467 79,467
33 99,421 119,419 82,467 104,466
30 121,419 142,417 105,466 128,466
6 152,417 175,415 139,466 164,465
0 177,415 202,413 167,465 194,465
8 204,413 229,411 196,464 224,464
9 232,410 259,408 228,464 258,463
plate 82,407 267,389 51,481 266,480
24 298,111 325,114 307,166 332,167
30 327,114 351,117 334,167 357,168
20 354,117 376,120 359,168 380,168
7 385,121 404,123 388,168 407,169
7 406,123 425,125 409,169 427,169
3 427,125 444,127 428,170 445,170
8 446,127 461,129 446,170 462,170
plate 292,89 465,114 307,179 466,180
