16 63,420 77,423 54,456 71,457
29 78,423 91,425 72,457 86,458
10 93,426 105,428 89,458 101,459
5 110,429 120,431 106,459 117,460
2 121,431 130,432 118,460 128,460
1 131,433 140,434 130,460 139,461
7 140,434 148,436 140,461 148,461
plate 64,407 150,427 50,468 150,469
14 308,304 318,305 300,331 312,331
33 319,305 330,306 313,331 325,332
22 331,306 340,307 326,332 337,332
8 345,308 354,308 341,332 351,332
9 355,308 364,309 352,332 362,333
8 364,309 372,310 363,333 371,333
8 373,310 381,311 372,333 381,333
plate 309,296 383,304 297,338 383,339
