11 82,124 88,123 77,138 84,138
27 89,123 96,122 84,138 92,138
22 98,121 106,120 93,137 102,137
2 110,119 121,118 106,137 117,136
1 122,118 134,116 118,136 131,136
4 136,115 150,113 133,136 148,135
4 152,113 169,110 150,135 168,134
plate 83,119 174,100 75,142 174,141
20 272,99 281,98 265,120 274,120
19 282,98 293,96 275,120 286,119
24 293,96 305,94 287,119 300,119
4 311,94 324,92 306,118 319,118
2 326,91 341,89 321,118 337,117
7 344,89 362,86 340,117 359,116
0 363,86 385,83 361,116 384,115
plate 273,92 391,71 262,126 390,125
