23 277,348 295,347 285,382 301,382
11 296,347 314,346 303,382 320,382
33 316,346 335,345 322,382 340,382
8 343,345 363,344 348,382 367,381
3 366,344 387,343 370,381 390,381
8 389,343 411,341 392,381 413,381
7 413,341 436,340 415,381 437,380
plate 273,335 443,324 285,390 443,390
33 80,160 107,163 70,222 98,222
15 109,163 134,166 101,223 127,223
29 136,166 158,169 129,223 152,224
7 168,170 188,172 163,225 184,225
6 189,173 209,175 186,225 207,226
6 210,175 228,177 208,226 226,227
8 230,177 246,179 229,227 246,227
plate 81,136 250,162 64,240 250,241
