33 154,372 160,371 149,384 154,384
16 160,371 167,370 155,384 162,384
24 168,370 175,369 162,384 170,383
0 179,368 187,366 174,383 182,383
6 188,366 199,364 183,383 195,382
6 200,364 211,362 196,382 209,382
3 213,362 228,359 210,382 227,381
plate 156,368 232,352 147,388 231,386
11 70,28 83,29 75,56 87,56
17 84,29 98,30 88,56 101,56
26 99,30 110,31 102,56 113,56
0 116,32 126,32 118,56 128,57
2 127,32 138,33 129,57 139,57
8 139,33 148,34 140,57 149,57
1 149,34 159,35 150,57 159,57
plate 67,17 161,27 74,61 161,62
