27 108,444 117,442 95,463 104,462
28 117,442 127,440 105,462 115,461
11 128,440 139,437 115,461 127,461
0 145,436 158,434 133,460 147,459
1 160,433 176,430 149,459 167,458
1 179,430 198,426 169,458 191,457
7 201,425 226,420 194,457 223,455
plate 112,437 234,407 91,469 233,467
17 66,350 82,349 61,384 78,383
21 84,349 101,348 79,383 97,383
13 103,347 121,346 99,383 117,382
0 129,345 149,344 126,382 146,382
9 151,344 173,342 148,382 170,381
2 175,342 198,340 173,381 196,381
5 200,340 225,338 199,381 224,380
plate 67,338 231,321 58,393 231,393
