16 217,51 248,55 226,114 255,115
21 251,55 280,58 258,115 285,116
11 282,58 307,61 287,116 311,117
4 319,62 342,65 323,117 344,118
0 344,65 366,67 346,118 367,118
8 367,68 387,70 369,118 388,119
0 390,70 408,72 390,119 408,119
plate 211,24 412,53 225,131 413,132
10 28,234 62,239 40,301 71,302
28 64,239 94,243 73,302 101,303
15 97,243 123,247 104,303 128,304
2 135,248 158,251 139,304 161,305
2 160,251 182,254 163,305 184,306
0 183,254 203,257 185,306 204,306
2 205,257 223,260 206,306 223,307
plate 20,204 227,240 40,318 227,319
