26 77,105 90,106 81,133 94,133
19 92,106 105,106 95,133 108,133
19 107,106 120,107 110,133 122,133
4 126,107 138,107 128,133 140,134
3 139,108 151,108 141,134 152,134
3 153,108 165,108 154,134 166,134
5 166,108 178,109 167,134 178,134
plate 74,94 181,98 81,140 181,141
23 99,161 108,161 95,180 104,180
19 109,160 118,160 105,180 115,180
19 120,159 130,159 117,180 127,180
8 135,158 146,157 132,180 144,179
6 147,157 159,156 145,179 157,179
6 161,156 174,155 159,179 173,179
1 175,155 189,153 174,179 189,178
plate 100,154 193,144 93,186 193,186
