31 79,426 91,424 73,450 85,450
30 93,423 106,421 87,450 101,449
23 108,421 123,419 102,449 118,448
4 130,418 149,415 125,448 145,447
8 151,414 173,411 147,447 169,446
0 175,411 201,407 171,446 198,445
5 203,407 234,402 201,445 233,444
plate 80,416 242,385 70,458 241,456
33 69,114 80,112 62,137 73,137
28 81,112 94,110 74,137 88,136
17 96,109 111,107 89,136 104,135
5 118,106 136,103 111,135 130,134
9 138,102 159,99 132,134 154,133
7 161,98 187,94 157,133 184,132
0 190,94 221,88 187,132 220,130
plate 70,105 230,72 59,144 229,143
