19 375,461 385,461 382,479 392,479
24 386,460 397,460 392,479 403,479
28 398,460 408,460 404,479 413,479
2 414,459 425,459 418,479 429,479
9 426,459 438,458 430,479 441,479
0 440,458 452,458 442,479 453,479
3 453,458 467,457 455,479 467,479
plate 371,453 469,448 383,483 470,483
21 34,333 53,336 41,375 59,375
26 56,336 73,338 62,375 78,376
20 76,339 92,341 80,376 96,376
9 99,342 113,344 102,377 116,377
4 114,344 128,346 116,377 129,378
1 129,346 141,347 130,378 142,378
7 143,348 153,349 143,378 153,378
plate 28,315 156,338 40,385 156,386
