23 87,97 95,97 80,116 88,116
29 96,97 105,96 89,116 98,116
15 105,96 114,96 99,116 108,116
6 118,96 127,95 113,116 123,116
0 128,95 138,94 124,116 135,115
1 139,94 148,94 136,115 146,115
9 149,94 160,93 147,115 160,115
plate 89,91 162,86 77,121 162,121
28 275,291 282,291 278,303 285,303
12 282,290 290,290 286,303 293,303
33 290,290 298,289 293,303 301,303
7 302,289 311,288 304,303 313,303
0 312,288 321,287 314,303 323,302
5 323,287 334,286 324,302 335,302
2 335,286 346,285 336,302 347,302
plate 273,285 351,275 278,307 351,306
