24 82,238 92,237 88,259 99,258
25 94,237 106,236 100,258 111,258
11 107,236 121,234 113,258 126,258
1 127,234 141,233 131,258 145,257
1 143,233 159,231 146,257 162,257
8 160,231 177,230 163,257 179,257
2 180,230 198,228 182,257 198,256
plate 78,229 203,216 89,264 204,263
31 104,459 121,461 96,502 115,503
15 123,461 140,463 117,503 135,504
25 141,463 157,465 136,504 153,504
9 164,466 177,468 160,504 175,505
2 179,468 191,469 176,505 190,505
4 193,470 205,471 191,505 204,506
1 206,471 218,473 205,506 217,506
plate 104,443 221,461 91,515 220,516
