21 65,334 79,333 55,364 69,364
26 80,333 94,332 70,364 85,363
23 95,332 110,331 86,363 102,363
3 117,331 132,329 110,363 126,363
8 134,329 150,328 128,363 145,362
4 152,328 169,327 147,362 166,362
7 171,327 189,326 168,362 188,361
plate 68,323 194,312 50,373 194,373
23 99,108 112,106 89,138 103,138
11 113,106 128,105 105,138 120,137
17 129,105 145,103 121,137 137,137
9 151,102 169,100 145,136 163,136
8 171,100 189,98 165,136 185,135
7 191,98 212,96 187,135 209,135
2 214,96 236,94 211,135 235,134
plate 100,98 243,80 85,146 242,145
