32 42,164 66,166 49,211 72,211
31 67,166 89,169 73,211 94,212
27 91,169 111,170 95,212 115,212
5 120,171 138,173 123,212 140,213
3 140,173 156,175 142,213 158,213
3 158,175 174,176 160,213 174,214
3 175,176 190,178 176,214 190,214
plate 36,143 194,162 49,223 194,223
14 314,362 345,364 331,424 359,425
18 348,364 379,367 362,425 390,425
11 381,367 410,369 392,425 418,426
6 422,369 449,371 430,426 455,426
1 451,371 476,373 457,426 480,427
4 479,373 503,375 483,427 505,427
plate 302,335 534,355 331,440 534,440
