32 32,128 61,131 15,199 47,200
26 65,132 91,135 51,200 80,201
32 93,135 118,138 83,201 110,202
4 129,139 152,142 122,203 146,203
1 154,142 175,145 149,204 172,204
0 177,145 197,147 174,204 195,205
3 199,148 218,150 197,205 217,206
plate 35,102 222,130 6,221 222,222
24 234,173 249,172 242,198 255,198
20 249,172 265,171 256,198 271,198
17 266,171 282,169 272,198 288,197
8 290,168 308,167 296,197 313,197
4 310,167 330,165 315,197 333,197
9 332,165 353,163 335,197 356,196
6 356,163 379,161 358,196 380,196
plate 229,162 387,144 242,205 387,205
