19 82,374 89,373 76,389 83,389
30 90,372 98,371 84,389 92,389
32 99,371 108,370 93,388 103,388
0 112,369 122,368 107,388 118,387
8 123,367 135,366 119,387 131,387
0 137,365 151,363 134,387 148,386
2 152,363 168,361 150,386 167,385
plate 84,368 172,352 73,394 172,393
21 131,273 141,272 124,298 135,298
23 143,272 154,272 137,298 148,298
21 156,271 168,271 150,298 163,297
2 173,271 186,270 168,297 182,297
9 187,270 200,269 183,297 197,297
4 201,269 215,268 198,297 213,297
7 217,268 230,267 215,297 230,296
plate 132,264 234,257 120,305 234,305
