17 69,82 83,83 72,111 85,111
21 84,83 97,85 86,111 99,112
14 99,85 110,86 100,112 111,112
8 115,87 125,88 116,112 126,113
9 126,88 136,89 127,113 137,113
4 137,89 146,90 138,113 146,113
3 147,90 156,91 147,113 156,113
plate 67,70 157,83 71,118 157,118
18 228,348 263,351 241,418 274,419
20 266,351 299,354 277,419 307,420
32 301,354 331,357 310,420 338,420
0 344,358 372,360 350,420 376,421
8 375,361 401,363 379,421 404,422
6 403,363 427,365 405,422 429,422
9 430,365 452,367 431,422 453,423
plate 218,317 458,344 241,436 459,437
