13 75,112 97,114 70,163 93,164
22 99,114 120,116 95,164 116,165
26 122,116 141,118 119,165 139,165
4 149,119 167,120 147,165 165,166
1 169,121 186,122 167,166 184,166
7 187,122 203,124 186,166 202,167
2 205,124 220,125 204,167 219,167
plate 75,93 223,111 66,177 223,178
25 216,321 233,320 207,358 225,358
17 235,320 252,319 227,358 245,358
30 254,319 272,318 247,358 266,357
2 281,318 300,317 275,357 295,357
8 302,317 322,315 297,357 319,356
6 324,315 345,314 321,356 343,356
8 348,314 370,313 346,356 369,356
plate 218,308 375,297 203,369 375,369
