19 46,214 71,217 52,263 76,264
24 72,217 95,220 77,264 99,265
17 96,220 117,222 100,265 120,265
9 126,223 143,225 128,266 145,266
9 145,225 161,227 147,266 162,267
7 163,228 178,229 164,267 178,267
1 179,230 193,231 180,267 193,267
plate 40,191 197,216 51,277 197,277
20 305,329 333,332 299,392 328,393
10 335,332 362,334 330,393 358,394
19 364,334 388,336 360,394 386,394
1 399,337 423,339 397,394 421,395
0 425,339 446,341 423,395 445,395
9 449,341 469,343 448,395 469,396
7 471,343 490,345 470,396 490,396
plate 304,305 496,326 294,410 496,411
