18 223,415 241,414 228,451 245,451
23 243,414 261,413 247,451 265,451
12 263,413 282,413 267,451 285,450
6 290,412 310,412 293,450 312,450
7 312,412 332,411 314,450 334,450
2 334,411 355,410 336,450 356,450
9 358,410 379,409 359,450 380,450
plate 220,401 385,393 227,459 385,459
24 60,155 83,159 47,214 72,215
23 85,159 106,163 75,215 98,216
22 108,163 126,167 100,216 120,217
2 133,168 149,171 128,217 145,218
3 151,171 166,173 147,218 163,219
2 167,174 180,176 165,219 179,220
8 182,176 194,178 181,220 194,220
plate 62,135 197,165 40,230 197,231
