22 181,21 202,20 176,66 197,66
31 204,20 226,19 199,66 221,66
21 228,19 250,18 223,66 246,65
2 260,18 284,17 257,65 281,65
3 286,17 310,16 283,65 308,65
2 313,15 338,14 311,65 336,64
8 340,14 365,13 339,64 365,64
plate 181,4 373,-5 171,79 373,79
21 82,457 89,456 88,470 95,470
21 90,456 98,455 96,470 104,470
13 99,455 108,454 105,470 114,470
5 113,454 123,453 118,470 128,470
9 125,453 138,451 129,470 141,469
9 139,451 152,450 142,469 155,469
6 154,449 171,447 156,469 172,468
plate 79,452 174,438 89,473 175,473
