30 60,34 77,32 75,63 91,62
18 79,32 97,30 92,62 110,62
24 99,30 119,28 111,62 130,62
5 128,28 151,26 139,61 160,61
6 153,26 178,23 162,61 185,60
9 180,23 208,21 187,60 213,60
3 211,21 242,18 215,60 243,59
plate 52,21 249,-1 77,70 250,69
21 300,108 317,110 303,144 320,144
12 318,110 334,112 321,144 336,145
23 336,113 350,115 338,145 351,146
4 355,116 367,117 356,146 368,146
7 368,117 379,119 369,146 380,147
8 381,119 391,121 382,147 391,147
1 392,121 401,122 392,147 401,147
plate 297,92 403,112 303,153 403,154
