30 48,54 81,57 54,124 86,124
10 85,57 115,60 89,124 119,125
15 118,60 146,62 121,125 149,126
0 159,64 186,66 162,126 188,126
1 188,66 213,68 190,127 215,127
0 215,68 239,70 217,127 239,128
5 241,71 263,73 242,128 264,128
plate 41,24 269,50 52,142 269,143
13 324,285 339,284 313,320 329,320
20 341,284 357,283 331,320 348,320
16 358,283 375,282 350,320 367,319
9 382,281 399,281 375,319 393,319
4 401,280 419,279 395,319 414,319
4 421,279 439,278 416,319 437,318
0 441,278 461,277 439,318 460,318
plate 327,273 466,263 309,330 465,329
