26 349,385 365,388 345,423 362,424
23 366,389 380,391 363,424 378,424
17 383,392 395,394 380,424 393,425
0 400,395 410,397 398,425 409,426
8 411,397 421,399 410,426 420,426
3 423,399 431,400 422,427 431,427
8 432,401 440,402 432,427 440,427
plate 350,371 442,393 342,434 442,435
13 36,129 62,128 52,177 76,176
21 64,128 91,127 79,176 103,176
11 93,127 120,126 105,176 131,176
9 133,126 161,125 143,176 169,176
4 165,125 194,123 172,176 200,175
5 196,123 227,122 202,175 230,175
4 230,122 262,121 234,175 263,175
plate 26,108 270,96 53,189 271,188
