22 16,342 52,347 24,419 59,420
33 56,347 89,352 63,420 94,421
12 91,352 121,356 96,421 125,422
3 134,357 160,361 137,423 163,424
6 163,361 187,364 166,424 189,424
7 189,364 211,367 191,424 212,425
8 214,368 234,370 215,425 235,426
plate 8,309 240,348 22,439 240,440
32 128,47 151,46 140,90 161,90
12 153,46 177,45 163,90 186,89
22 179,45 203,44 188,89 211,89
1 215,43 241,42 222,89 247,89
8 243,42 270,41 249,89 275,88
9 274,40 302,39 278,88 304,88
6 304,39 334,38 307,88 334,88
plate 121,29 342,16 140,101 343,100
