20 35,275 61,276 18,339 47,339
27 64,276 89,278 50,339 77,340
23 91,278 115,280 80,340 106,340
4 126,280 149,282 118,340 143,341
1 152,282 174,283 146,341 170,341
0 176,284 197,285 171,341 194,342
8 199,285 220,286 197,342 219,342
plate 38,252 225,267 9,358 225,359
15 123,462 132,463 117,483 127,483
31 133,463 141,463 128,483 137,483
30 141,463 150,464 137,483 146,483
6 153,464 161,464 150,483 159,483
8 162,464 169,464 160,483 168,483
2 170,464 178,465 169,483 177,483
6 178,465 185,465 178,483 185,483
plate 124,454 187,458 115,489 187,489
