16 47,329 72,330 34,387 60,388
31 74,330 98,332 62,388 89,388
14 100,332 123,333 91,388 115,389
7 133,334 156,335 126,389 150,389
1 157,335 178,336 152,389 175,390
8 181,336 201,338 177,390 199,390
5 202,338 222,339 201,390 221,390
plate 49,308 227,321 26,405 227,406
17 212,45 230,46 215,84 233,84
21 232,46 250,47 235,84 253,84
18 251,47 269,48 254,84 271,84
1 276,48 291,49 278,84 293,85
1 293,49 308,50 295,85 309,85
5 310,50 325,51 311,85 326,85
5 326,51 341,52 327,85 341,85
plate 208,29 344,39 214,94 344,94
