11 165,100 186,102 151,153 175,153
18 188,102 207,105 177,153 199,154
27 209,105 227,107 201,154 221,155
8 234,108 251,110 228,155 246,156
6 252,110 268,112 248,156 265,156
7 269,112 284,114 267,156 282,157
7 285,114 299,116 284,157 298,157
plate 167,82 302,102 145,167 302,168
23 72,326 84,326 80,349 90,348
23 85,325 97,325 92,348 104,348
16 99,325 113,324 105,348 118,348
9 119,323 134,322 124,348 138,348
6 135,322 151,321 139,348 154,347
0 153,321 170,320 156,347 172,347
3 172,320 189,319 174,347 190,347
plate 68,317 195,306 80,354 195,354
