30 65,360 81,362 56,401 73,402
23 83,362 100,364 76,402 93,402
10 101,364 116,365 94,402 111,403
9 122,366 136,367 118,403 132,403
0 137,367 150,368 134,403 148,404
8 151,368 164,370 149,404 163,404
1 165,370 177,371 164,404 177,404
plate 66,346 180,359 50,414 180,414
27 131,135 155,136 114,194 141,195
23 157,136 181,138 143,195 170,195
26 183,138 205,140 172,195 196,196
8 215,140 237,142 207,196 231,196
8 239,142 259,143 233,196 255,197
0 261,143 281,145 257,197 278,197
8 282,145 301,146 280,197 300,198
plate 134,114 306,128 105,213 306,213
