10 68,76 80,74 63,101 75,101
25 81,74 95,72 77,100 91,100
18 97,71 113,69 92,100 108,99
5 120,68 139,65 116,99 135,98
1 141,65 163,62 137,98 160,97
4 165,61 191,58 162,97 189,96
1 193,57 224,53 191,96 223,95
plate 68,66 232,36 60,108 231,107
10 344,427 368,429 352,478 375,478
22 370,429 393,431 377,478 399,479
28 396,431 417,432 401,479 421,479
9 426,433 446,435 430,479 449,480
0 448,435 467,436 451,480 469,480
5 469,436 487,438 471,480 488,480
1 488,438 505,439 489,480 506,481
plate 338,407 510,424 351,489 510,490
