14 77,146 97,145 90,183 110,182
12 99,145 121,144 112,182 132,182
21 123,143 145,142 134,182 155,182
7 156,141 180,140 165,182 188,181
0 182,140 209,138 190,181 215,181
0 211,138 238,136 217,181 242,181
5 242,136 271,134 245,180 272,180
plate 69,130 279,113 92,192 280,191
19 336,306 358,310 342,355 362,356
26 361,310 381,313 365,356 385,357
15 383,314 401,316 386,357 404,357
6 409,317 424,320 411,358 426,358
1 426,320 440,322 427,358 441,359
4 441,322 455,324 442,359 455,359
7 456,325 468,326 456,359 468,360
plate 330,285 471,313 340,368 471,369
