14 66,174 83,172 61,207 78,207
22 84,172 102,171 80,207 97,207
16 103,171 122,169 99,207 118,206
8 130,169 150,167 126,206 147,206
6 152,167 173,165 149,206 171,205
5 175,165 198,163 173,205 197,205
3 200,163 225,161 199,204 224,204
plate 67,161 231,145 59,217 231,216
27 385,297 398,299 391,322 403,323
14 399,299 411,300 404,323 415,323
27 411,300 422,302 415,323 425,323
9 427,302 436,303 429,323 438,324
1 437,303 445,304 439,324 446,324
2 446,304 454,305 447,324 455,324
2 455,305 462,306 456,324 462,324
plate 381,285 464,298 391,329 464,329
