12 75,261 97,260 88,302 109,302
21 100,259 123,258 111,301 133,301
20 125,258 150,256 135,301 159,301
2 162,255 189,253 171,300 197,300
5 193,252 222,250 200,300 228,299
9 225,250 257,248 230,299 260,299
3 261,247 296,245 264,299 296,298
plate 68,244 305,220 89,312 306,312
19 171,121 188,120 166,157 184,157
24 190,120 208,119 185,157 204,156
12 210,118 229,117 206,156 225,156
8 237,117 257,116 234,156 254,156
0 259,116 280,115 256,156 278,155
9 282,114 304,113 280,155 303,155
7 306,113 329,112 305,155 329,155
plate 171,107 335,95 163,168 335,167
