17 67,67 91,71 61,125 86,126
15 94,71 115,74 89,126 111,127
31 117,75 137,78 114,127 134,128
3 145,79 162,81 142,128 160,129
2 164,82 180,84 162,129 178,129
0 181,84 196,87 180,129 195,130
3 197,87 211,89 197,130 211,131
plate 67,47 214,75 56,140 214,141
12 434,164 441,163 438,177 445,177
24 442,163 450,163 446,177 454,177
28 450,163 459,162 454,177 462,177
2 463,162 472,161 466,177 475,176
3 473,161 483,160 476,176 485,176
0 484,160 495,159 486,176 496,176
7 496,159 507,158 497,176 507,176
plate 430,157 511,149 438,181 511,180
