29 72,63 91,64 64,106 85,106
10 92,64 111,66 86,106 105,106
10 112,66 129,67 106,106 125,107
5 137,67 152,68 133,107 149,107
3 154,69 169,70 151,107 167,107
1 171,70 185,71 169,107 184,108
7 187,71 200,72 186,108 200,108
plate 73,47 204,58 59,118 204,119
19 144,362 159,360 154,388 168,387
22 160,360 177,358 170,387 186,387
16 178,358 196,355 187,387 205,386
7 206,354 228,351 214,386 235,385
3 230,351 257,347 237,385 263,384
9 259,347 289,343 265,384 293,383
6 294,342 330,338 298,383 331,382
plate 139,351 341,315 155,394 342,393
